السلسلة,اليوم,اسم اليوم,الطلبات المتوقعة
الأحساء,2026-06-14,Sunday,11
الأحساء,2026-06-15,Monday,8
الأحساء,2026-06-16,Tuesday,11
الأحساء,2026-06-17,Wednesday,11
الأحساء,2026-06-18,Thursday,11
الأحساء,2026-06-19,Friday,9
الأحساء,2026-06-20,Saturday,12
الرياض,2026-06-14,Sunday,196
الرياض,2026-06-15,Monday,177
الرياض,2026-06-16,Tuesday,161
الرياض,2026-06-17,Wednesday,154
الرياض,2026-06-18,Thursday,146
الرياض,2026-06-19,Friday,149
الرياض,2026-06-20,Saturday,159
الشرقية,2026-06-14,Sunday,57
الشرقية,2026-06-15,Monday,49
الشرقية,2026-06-16,Tuesday,44
الشرقية,2026-06-17,Wednesday,54
الشرقية,2026-06-18,Thursday,58
الشرقية,2026-06-19,Friday,48
الشرقية,2026-06-20,Saturday,49
جدة,2026-06-14,Sunday,24
جدة,2026-06-15,Monday,24
جدة,2026-06-16,Tuesday,22
جدة,2026-06-17,Wednesday,21
جدة,2026-06-18,Thursday,17
جدة,2026-06-19,Friday,14
جدة,2026-06-20,Saturday,18
كل المدن,2026-06-14,Sunday,294
كل المدن,2026-06-15,Monday,285
كل المدن,2026-06-16,Tuesday,277
كل المدن,2026-06-17,Wednesday,261
كل المدن,2026-06-18,Thursday,242
كل المدن,2026-06-19,Friday,263
كل المدن,2026-06-20,Saturday,283
