السلسلة,نوع التوقع,اليوم,الطلبات المتوقعة,بداية التوقع,نهاية التوقع,إجمالي توقع الأسبوع
الأحساء,Forecast,2026-06-14,11,2026-06-14,2026-06-20,73
الأحساء,Forecast,2026-06-15,8,2026-06-14,2026-06-20,73
الأحساء,Forecast,2026-06-16,11,2026-06-14,2026-06-20,73
الأحساء,Forecast,2026-06-17,11,2026-06-14,2026-06-20,73
الأحساء,Forecast,2026-06-18,11,2026-06-14,2026-06-20,73
الأحساء,Forecast,2026-06-19,9,2026-06-14,2026-06-20,73
الأحساء,Forecast,2026-06-20,12,2026-06-14,2026-06-20,73
الرياض,Forecast,2026-06-14,196,2026-06-14,2026-06-20,1142
الرياض,Forecast,2026-06-15,177,2026-06-14,2026-06-20,1142
الرياض,Forecast,2026-06-16,161,2026-06-14,2026-06-20,1142
الرياض,Forecast,2026-06-17,154,2026-06-14,2026-06-20,1142
الرياض,Forecast,2026-06-18,146,2026-06-14,2026-06-20,1142
الرياض,Forecast,2026-06-19,149,2026-06-14,2026-06-20,1142
الرياض,Forecast,2026-06-20,159,2026-06-14,2026-06-20,1142
الشرقية,Forecast,2026-06-14,57,2026-06-14,2026-06-20,359
الشرقية,Forecast,2026-06-15,49,2026-06-14,2026-06-20,359
الشرقية,Forecast,2026-06-16,44,2026-06-14,2026-06-20,359
الشرقية,Forecast,2026-06-17,54,2026-06-14,2026-06-20,359
الشرقية,Forecast,2026-06-18,58,2026-06-14,2026-06-20,359
الشرقية,Forecast,2026-06-19,48,2026-06-14,2026-06-20,359
الشرقية,Forecast,2026-06-20,49,2026-06-14,2026-06-20,359
جدة,Forecast,2026-06-14,24,2026-06-14,2026-06-20,140
جدة,Forecast,2026-06-15,24,2026-06-14,2026-06-20,140
جدة,Forecast,2026-06-16,22,2026-06-14,2026-06-20,140
جدة,Forecast,2026-06-17,21,2026-06-14,2026-06-20,140
جدة,Forecast,2026-06-18,17,2026-06-14,2026-06-20,140
جدة,Forecast,2026-06-19,14,2026-06-14,2026-06-20,140
جدة,Forecast,2026-06-20,18,2026-06-14,2026-06-20,140
كل المدن,Forecast,2026-06-14,294,2026-06-14,2026-06-20,1905
كل المدن,Forecast,2026-06-15,285,2026-06-14,2026-06-20,1905
كل المدن,Forecast,2026-06-16,277,2026-06-14,2026-06-20,1905
كل المدن,Forecast,2026-06-17,261,2026-06-14,2026-06-20,1905
كل المدن,Forecast,2026-06-18,242,2026-06-14,2026-06-20,1905
كل المدن,Forecast,2026-06-19,263,2026-06-14,2026-06-20,1905
كل المدن,Forecast,2026-06-20,283,2026-06-14,2026-06-20,1905
